date_tdb,jd_tdb,lambda_sidereal_deg,beta_deg,distance_au,ayanamsa_deg,x_au,y_au,z_au,vx_km_s,vy_km_s,vz_km_s,radial_velocity_km_s
2020-Aug-24 00:00:00.0000 TDB,2459085.50000,266.577459,2.475780,63.495138,25.024151,23.353959,-58.980524,2.742804,-37.204349,27.342878,-2.376691,-39.185440
2020-Aug-25 00:00:00.0000 TDB,2459086.50000,266.564716,2.475419,63.472619,25.024181,23.332599,-58.964801,2.741431,-36.761641,27.105987,-2.376869,-38.797198
2020-Aug-26 00:00:00.0000 TDB,2459087.50000,266.552120,2.475049,63.450323,25.024226,23.311496,-58.949213,2.740059,-36.315398,26.876866,-2.376989,-38.415084
2020-Aug-27 00:00:00.0000 TDB,2459088.50000,266.539677,2.474669,63.428245,25.024282,23.290652,-58.933754,2.738686,-35.865799,26.655410,-2.377048,-38.039066
2020-Aug-28 00:00:00.0000 TDB,2459089.50000,266.527399,2.474281,63.406383,25.024343,23.270069,-58.918422,2.737313,-35.412974,26.441513,-2.377044,-37.669099
2020-Aug-29 00:00:00.0000 TDB,2459090.50000,266.515294,2.473885,63.384732,25.024403,23.249747,-58.903210,2.735940,-34.957015,26.235086,-2.376982,-37.305132
2020-Aug-30 00:00:00.0000 TDB,2459091.50000,266.503371,2.473480,63.363291,25.024456,23.229690,-58.888116,2.734567,-34.497983,26.036055,-2.376867,-36.947125
2020-Aug-31 00:00:00.0000 TDB,2459092.50000,266.491639,2.473067,63.342054,25.024497,23.209899,-58.873135,2.733195,-34.035915,25.844372,-2.376709,-36.595046
2020-Sep-01 00:00:00.0000 TDB,2459093.50000,266.480102,2.472646,63.321019,25.024524,23.190376,-58.858262,2.731822,-33.570836,25.660010,-2.376517,-36.248882
2020-Sep-02 00:00:00.0000 TDB,2459094.50000,266.468762,2.472217,63.300182,25.024540,23.171122,-58.843494,2.730450,-33.102759,25.482972,-2.376301,-35.908642
2020-Sep-03 00:00:00.0000 TDB,2459095.50000,266.457620,2.471780,63.279540,25.024545,23.152140,-58.828825,2.729077,-32.631696,25.313283,-2.376073,-35.574355
2020-Sep-04 00:00:00.0000 TDB,2459096.50000,266.446675,2.471336,63.259089,25.024545,23.133430,-58.814253,2.727705,-32.157661,25.150990,-2.375842,-35.246070
2020-Sep-05 00:00:00.0000 TDB,2459097.50000,266.435925,2.470884,63.238826,25.024544,23.114995,-58.799772,2.726333,-31.680675,24.996161,-2.375619,-34.923861
2020-Sep-06 00:00:00.0000 TDB,2459098.50000,266.425370,2.470425,63.218747,25.024546,23.096837,-58.785378,2.724961,-31.200771,24.848878,-2.375412,-34.607815
2020-Sep-07 00:00:00.0000 TDB,2459099.50000,266.415008,2.469958,63.198849,25.024554,23.078956,-58.771068,2.723589,-30.717991,24.709232,-2.375229,-34.298034
2020-Sep-08 00:00:00.0000 TDB,2459100.50000,266.404841,2.469484,63.179128,25.024572,23.061355,-58.756835,2.722217,-30.232385,24.577326,-2.375077,-33.994630
2020-Sep-09 00:00:00.0000 TDB,2459101.50000,266.394870,2.469003,63.159581,25.024601,23.044035,-58.742677,2.720846,-29.744011,24.453267,-2.374963,-33.697727
2020-Sep-10 00:00:00.0000 TDB,2459102.50000,266.385098,2.468516,63.140203,25.024641,23.026998,-58.728588,2.719474,-29.252934,24.337173,-2.374892,-33.407456
2020-Sep-11 00:00:00.0000 TDB,2459103.50000,266.375531,2.468022,63.120991,25.024689,23.010246,-58.714564,2.718102,-28.759223,24.229172,-2.374870,-33.123960
2020-Sep-12 00:00:00.0000 TDB,2459104.50000,266.366174,2.467521,63.101940,25.024743,22.993779,-58.700599,2.716731,-28.262955,24.129407,-2.374901,-32.847401
2020-Sep-13 00:00:00.0000 TDB,2459105.50000,266.357036,2.467013,63.083047,25.024798,22.977600,-58.686690,2.715359,-27.764220,24.038045,-2.374988,-32.577966
2020-Sep-14 00:00:00.0000 TDB,2459106.50000,266.348125,2.466499,63.064308,25.024847,22.961709,-58.672831,2.713987,-27.263134,23.955274,-2.375132,-32.315871
2020-Sep-15 00:00:00.0000 TDB,2459107.50000,266.339451,2.465979,63.045718,25.024885,22.946109,-58.659018,2.712616,-26.759852,23.881307,-2.375331,-32.061366
2020-Sep-16 00:00:00.0000 TDB,2459108.50000,266.331021,2.465453,63.027273,25.024908,22.930799,-58.645244,2.711244,-26.254586,23.816361,-2.375575,-31.814731
2020-Sep-17 00:00:00.0000 TDB,2459109.50000,266.322838,2.464921,63.008967,25.024916,22.915782,-58.631506,2.709872,-25.747618,23.760638,-2.375852,-31.576252
2020-Sep-18 00:00:00.0000 TDB,2459110.50000,266.314899,2.464383,62.990797,25.024913,22.901059,-58.617797,2.708499,-25.239293,23.714292,-2.376142,-31.346196
2020-Sep-19 00:00:00.0000 TDB,2459111.50000,266.307198,2.463839,62.972758,25.024909,22.886629,-58.604112,2.707127,-24.730002,23.677396,-2.376422,-31.124767
2020-Sep-20 00:00:00.0000 TDB,2459112.50000,266.299727,2.463291,62.954844,25.024914,22.872493,-58.590445,2.705754,-24.220138,23.649929,-2.376671,-30.912085
2020-Sep-21 00:00:00.0000 TDB,2459113.50000,266.292482,2.462737,62.937050,25.024934,22.858652,-58.576792,2.704382,-23.710059,23.631786,-2.376871,-30.708179
2020-Sep-22 00:00:00.0000 TDB,2459114.50000,266.285464,2.462178,62.919371,25.024972,22.845106,-58.563147,2.703009,-23.200061,23.622804,-2.377010,-30.512999
2020-Sep-23 00:00:00.0000 TDB,2459115.50000,266.278677,2.461614,62.901803,25.025023,22.831854,-58.549504,2.701636,-22.690368,23.622794,-2.377084,-30.326445
2020-Sep-24 00:00:00.0000 TDB,2459116.50000,266.272130,2.461046,62.884339,25.025082,22.818896,-58.535858,2.700263,-22.181138,23.631573,-2.377093,-30.148401
2020-Sep-25 00:00:00.0000 TDB,2459117.50000,266.265832,2.460474,62.866977,25.025140,22.806232,-58.522205,2.698890,-21.672482,23.648977,-2.377042,-29.978749
2020-Sep-26 00:00:00.0000 TDB,2459118.50000,266.259791,2.459898,62.849709,25.025191,22.793862,-58.508540,2.697517,-21.164477,23.674870,-2.376938,-29.817387
2020-Sep-27 00:00:00.0000 TDB,2459119.50000,266.254013,2.459318,62.832533,25.025232,22.781785,-58.494857,2.696145,-20.657181,23.709148,-2.376791,-29.664232
2020-Sep-28 00:00:00.0000 TDB,2459120.50000,266.248501,2.458734,62.815443,25.025260,22.770001,-58.481152,2.694772,-20.150642,23.751727,-2.376611,-29.519221
2020-Sep-29 00:00:00.0000 TDB,2459121.50000,266.243256,2.458147,62.798434,25.025275,22.758509,-58.467420,2.693399,-19.644902,23.802550,-2.376408,-29.382309
2020-Sep-30 00:00:00.0000 TDB,2459122.50000,266.238278,2.457556,62.781502,25.025280,22.747309,-58.453656,2.692027,-19.140001,23.861579,-2.376192,-29.253471
2020-Oct-01 00:00:00.0000 TDB,2459123.50000,266.233563,2.456963,62.764642,25.025279,22.736400,-58.439856,2.690655,-18.635979,23.928792,-2.375973,-29.132695
2020-Oct-02 00:00:00.0000 TDB,2459124.50000,266.229109,2.456367,62.747849,25.025276,22.725782,-58.426014,2.689282,-18.132880,24.004187,-2.375761,-29.019990
2020-Oct-03 00:00:00.0000 TDB,2459125.50000,266.224913,2.455768,62.731119,25.025276,22.715455,-58.412127,2.687910,-17.630753,24.087775,-2.375564,-28.915378
2020-Oct-04 00:00:00.0000 TDB,2459126.50000,266.220972,2.455167,62.714448,25.025281,22.705417,-58.398189,2.686538,-17.129654,24.179580,-2.375392,-28.818897
2020-Oct-05 00:00:00.0000 TDB,2459127.50000,266.217284,2.454563,62.697829,25.025296,22.695668,-58.384196,2.685167,-16.629648,24.279640,-2.375251,-28.730598
2020-Oct-06 00:00:00.0000 TDB,2459128.50000,266.213850,2.453957,62.681259,25.025321,22.686208,-58.370142,2.683795,-16.130808,24.387999,-2.375147,-28.650545
2020-Oct-07 00:00:00.0000 TDB,2459129.50000,266.210670,2.453350,62.664733,25.025358,22.677035,-58.356024,2.682423,-15.633218,24.504711,-2.375087,-28.578810
2020-Oct-08 00:00:00.0000 TDB,2459130.50000,266.207747,2.452740,62.648246,25.025404,22.668150,-58.341835,2.681051,-15.136968,24.629838,-2.375073,-28.515478
2020-Oct-09 00:00:00.0000 TDB,2459131.50000,266.205085,2.452129,62.631794,25.025456,22.659550,-58.327572,2.679680,-14.642158,24.763450,-2.375111,-28.460644
2020-Oct-10 00:00:00.0000 TDB,2459132.50000,266.202689,2.451516,62.615370,25.025511,22.651236,-58.313229,2.678308,-14.148900,24.905633,-2.375202,-28.414421
2020-Oct-11 00:00:00.0000 TDB,2459133.50000,266.200566,2.450902,62.598971,25.025563,22.643207,-58.298802,2.676936,-13.657318,25.056483,-2.375347,-28.376937
2020-Oct-12 00:00:00.0000 TDB,2459134.50000,266.198721,2.450286,62.582590,25.025607,22.635461,-58.284285,2.675564,-13.167564,25.216117,-2.375543,-28.348350
2020-Oct-13 00:00:00.0000 TDB,2459135.50000,266.197161,2.449670,62.566224,25.025638,22.627997,-58.269673,2.674192,-12.679825,25.384665,-2.375787,-28.328839
2020-Oct-14 00:00:00.0000 TDB,2459136.50000,266.195889,2.449053,62.549866,25.025655,22.620814,-58.254961,2.672820,-12.194341,25.562259,-2.376066,-28.318608
2020-Oct-15 00:00:00.0000 TDB,2459137.50000,266.194902,2.448435,62.533511,25.025659,22.613910,-58.240145,2.671447,-11.711415,25.749012,-2.376366,-28.317863
2020-Oct-16 00:00:00.0000 TDB,2459138.50000,266.194194,2.447817,62.517154,25.025658,22.607285,-58.225217,2.670075,-11.231408,25.944986,-2.376667,-28.326785
2020-Oct-17 00:00:00.0000 TDB,2459139.50000,266.193756,2.447199,62.500789,25.025662,22.600936,-58.210174,2.668702,-10.754724,26.150161,-2.376945,-28.345492
2020-Oct-18 00:00:00.0000 TDB,2459140.50000,266.193578,2.446581,62.484410,25.025680,22.594862,-58.195009,2.667329,-10.281767,26.364418,-2.377178,-28.374012
2020-Oct-19 00:00:00.0000 TDB,2459141.50000,266.193655,2.445963,62.468012,25.025717,22.589059,-58.179719,2.665956,-9.812894,26.587547,-2.377350,-28.412269
2020-Oct-20 00:00:00.0000 TDB,2459142.50000,266.193990,2.445346,62.451590,25.025772,22.583526,-58.164297,2.664583,-9.348388,26.819277,-2.377451,-28.460105
2020-Oct-21 00:00:00.0000 TDB,2459143.50000,266.194587,2.444729,62.435137,25.025837,22.578260,-58.148738,2.663210,-8.888440,27.059319,-2.377481,-28.517316
2020-Oct-22 00:00:00.0000 TDB,2459144.50000,266.195456,2.444114,62.418648,25.025906,22.573258,-58.133039,2.661837,-8.433172,27.307402,-2.377444,-28.583683
2020-Oct-23 00:00:00.0000 TDB,2459145.50000,266.196604,2.443500,62.402118,25.025968,22.568518,-58.117194,2.660464,-7.982650,27.563291,-2.377350,-28.659005
2020-Oct-24 00:00:00.0000 TDB,2459146.50000,266.198034,2.442887,62.385542,25.026020,22.564037,-58.101199,2.659091,-7.536913,27.826792,-2.377209,-28.743108
2020-Oct-25 00:00:00.0000 TDB,2459147.50000,266.199749,2.442277,62.368915,25.026059,22.559811,-58.085050,2.657718,-7.095990,28.097747,-2.377034,-28.835851
2020-Oct-26 00:00:00.0000 TDB,2459148.50000,266.201749,2.441668,62.352232,25.026084,22.555839,-58.068742,2.656345,-6.659906,28.376028,-2.376835,-28.937115
2020-Oct-27 00:00:00.0000 TDB,2459149.50000,266.204028,2.441061,62.335488,25.026100,22.552117,-58.052272,2.654973,-6.228691,28.661526,-2.376624,-29.046805
